transaction_id,booking_id,transaction_date,transaction_time,transaction_hour,room_number,room_type,nights,base_rate,amount,payment_method,channel,transaction_type,staff_id,is_anomaly,anomaly_type
TXN0000080,BK000799,2024-02-25,15:30:00,15,103,Standard Double,5,85,460.64,Credit Card,Front Desk,Room Charge,STAFF002,0,None
TXN0000081,BK005933,2024-12-03,15:40:00,15,117,Standard Double,1,20,20.0,Credit Card,Front Desk,Late Check-out Fee,STAFF004,0,None
TXN0000082,BK003271,2024-07-04,14:33:00,14,121,Queen Room,1,95,95.0,OTA (Booking.com),Hotels.com,Room Charge,STAFF002,0,None
TXN0000083,BK001036,2024-03-09,18:44:00,18,139,Standard Single,1,10,10.0,Credit Card,Front Desk,Pet Fee,STAFF004,0,None
TXN0000084,BK001614,2024-04-10,14:32:00,14,112,Standard Double,2,85,170.0,OTA (Booking.com),Direct Website,Room Charge,STAFF004,0,None
TXN0000085,BK006004,2024-12-09,13:21:00,13,105,Standard Single,1,65,65.0,Credit Card,Front Desk,Room Charge,STAFF004,0,None
TXN0000086,BK004795,2024-09-18,14:28:00,14,126,Standard Double,1,85,85.0,Credit Card,Front Desk,Room Charge,STAFF004,0,None
TXN0000087,BK005002,2024-09-30,14:11:00,14,145,Standard Double,2,85,170.0,OTA (Booking.com),Expedia,Room Charge,STAFF005,0,None
TXN0000088,BK004792,2024-09-18,14:40:00,14,140,Standard Double,1,85,85.0,OTA (Booking.com),Expedia,Room Charge,STAFF004,0,None
TXN0000089,BK005394,2024-10-24,15:26:00,15,125,Queen Room,1,20,20.0,Credit Card,Front Desk,Early Check-in Fee,STAFF002,0,None
TXN0000090,BK004824,2024-09-19,14:27:00,14,151,Standard Double,2,85,170.0,Credit Card,Front Desk,Room Charge,STAFF005,0,None
TXN0000091,BK001802,2024-04-21,14:19:00,14,122,Standard Double,2,85,185.35,Cash,Front Desk,Room Charge,STAFF004,0,None
TXN0000092,BK001330,2024-03-25,16:03:00,16,149,Standard Single,1,25,25.0,OTA (Booking.com),Direct Website,Parking Fee,STAFF004,0,None
TXN0000093,BK001907,2024-04-27,12:30:00,12,150,Standard Double,3,85,277.26,Credit Card,Front Desk,Room Charge,STAFF005,0,None
TXN0000094,BK002695,2024-06-10,15:39:00,15,145,Standard Double,3,85,255.0,Credit Card,Front Desk,Room Charge,STAFF001,0,None
TXN0000095,BK004924,2024-09-26,17:04:00,17,121,Queen Room,2,95,190.0,Cash,Front Desk,Room Charge,STAFF002,0,None
TXN0000096,BK005469,2024-10-29,14:21:00,14,115,Queen Room,4,95,380.0,OTA (Booking.com),Direct Website,Room Charge,STAFF004,0,None
TXN0000097,BK004287,2024-08-19,14:48:00,14,116,Standard Double,1,85,85.0,Credit Card,Front Desk,Room Charge,STAFF001,0,None
TXN0000098,BK003455,2024-07-12,12:57:00,12,146,Standard Single,2,65,137.65,Credit Card,Front Desk,Room Charge,STAFF001,0,None
TXN0000099,BK001963,2024-04-30,16:35:00,16,102,Standard Double,1,15,15.0,Credit Card,Front Desk,Pet Fee,STAFF001,0,None
TXN0000100,BK003502,2024-07-14,13:03:00,13,143,Standard Single,2,65,142.53,Credit Card,Front Desk,Room Charge,STAFF001,0,None
TXN0000101,BK001587,2024-04-08,15:56:00,15,129,Queen Room,3,95,285.0,Credit Card,Front Desk,Room Charge,STAFF001,0,None
TXN0000102,BK005343,2024-10-21,12:03:00,12,117,Standard Double,1,10,10.0,OTA (Booking.com),Hotels.com,Early Check-in Fee,STAFF004,0,None
TXN0000103,BK004258,2024-08-17,17:30:00,17,142,Standard Single,1,20,20.0,Cash,Front Desk,Late Check-out Fee,STAFF004,0,None
TXN0000104,BK001087,2024-03-12,17:23:00,17,112,Standard Double,3,85,255.0,OTA (Booking.com),Booking.com,Room Charge,STAFF002,0,None
TXN0000105,BK002418,2024-05-26,15:07:00,15,139,Standard Double,4,85,380.74,Credit Card,Front Desk,Room Charge,STAFF001,0,None
TXN0000106,BK003461,2024-07-13,18:56:00,18,125,Standard Single,2,65,143.4,OTA (Booking.com),Booking.com,Room Charge,STAFF003,0,None
TXN0000107,BK005535,2024-11-03,14:32:00,14,142,Standard Single,2,65,139.68,OTA (Booking.com),Expedia,Room Charge,STAFF003,0,None
TXN0000108,BK006247,2024-12-28,16:27:00,16,143,Standard Double,1,85,92.5,Credit Card,Front Desk,Room Charge,STAFF002,0,None
TXN0000109,BK005545,2024-11-04,14:05:00,14,135,Standard Single,2,65,130.0,Credit Card,Front Desk,Room Charge,STAFF003,0,None
TXN0000110,BK004627,2024-09-07,13:01:00,13,112,Standard Double,1,85,94.5,Credit Card,Front Desk,Room Charge,STAFF003,0,None
TXN0000111,BK003485,2024-07-13,12:19:00,12,136,Queen Room,7,95,716.51,OTA (Booking.com),Booking.com,Room Charge,STAFF001,0,None
TXN0000112,BK002603,2024-06-06,13:04:00,13,133,Standard Single,2,65,130.0,Cash,Front Desk,Room Charge,STAFF004,0,None
TXN0000113,BK002996,2024-06-23,15:57:00,15,103,Standard Double,1,25,25.0,Credit Card,Front Desk,Parking Fee,STAFF003,0,None
TXN0000114,BK004061,2024-08-09,16:48:00,16,135,Standard Single,2,65,137.68,Cash,Front Desk,Room Charge,STAFF005,0,None
TXN0000115,BK000173,2024-01-13,14:32:00,14,125,Standard Single,4,65,295.24,Cash,Front Desk,Room Charge,STAFF004,0,None
TXN0000116,BK004689,2024-09-11,12:31:00,12,152,Standard Double,3,85,255.0,Credit Card,Front Desk,Room Charge,STAFF003,0,None
TXN0000117,BK000571,2024-02-11,15:33:00,15,135,Queen Room,1,95,104.5,OTA (Booking.com),Hotels.com,Room Charge,STAFF003,0,None
TXN0000118,BK000347,2024-01-26,12:44:00,12,149,Queen Room,1,95,103.52,Credit Card,Front Desk,Room Charge,STAFF002,0,None
TXN0000119,BK005075,2024-10-05,15:32:00,15,103,Standard Single,3,65,219.16,OTA (Booking.com),Expedia,Room Charge,STAFF002,0,None
TXN0000120,BK001445,2024-03-31,15:04:00,15,125,Queen Room,3,95,325.51,Credit Card,Front Desk,Room Charge,STAFF002,0,None
TXN0000121,BK001980,2024-05-01,15:18:00,15,125,Queen Room,4,95,380.0,Credit Card,Front Desk,Room Charge,STAFF005,0,None
TXN0000122,BK003646,2024-07-22,12:55:00,12,150,Standard Double,1,85,85.0,Credit Card,Front Desk,Room Charge,STAFF001,0,None
TXN0000123,BK003694,2024-07-23,17:07:00,17,129,Standard Double,1,85,85.0,Credit Card,Front Desk,Room Charge,STAFF005,0,None
TXN0000124,BK005767,2024-11-20,16:46:00,16,102,Queen Room,1,95,95.0,Credit Card,Front Desk,Room Charge,STAFF005,0,None
TXN0000125,BK003381,2024-07-08,19:27:00,19,128,Standard Double,2,85,170.0,Credit Card,Front Desk,Room Charge,STAFF004,0,None
TXN0000126,BK006400,2024-06-04,17:53:00,11,131,Standard Double,1,85,-810.85,Credit Card,Front Desk,Refund,STAFF002,1,Refund Spike
TXN0000127,BK004109,2024-08-11,14:01:00,14,152,Queen Room,1,95,106.38,OTA (Booking.com),Booking.com,Room Charge,STAFF005,0,None
TXN0000128,BK005563,2024-11-05,13:15:00,13,142,Standard Single,3,65,195.0,Credit Card,Front Desk,Room Charge,STAFF001,0,None
TXN0000129,BK005886,2024-11-30,18:42:00,18,116,Suite,1,10,10.0,Credit Card,Front Desk,Early Check-in Fee,STAFF003,0,None
TXN0000130,BK002141,2024-05-10,15:22:00,15,112,Standard Double,3,85,286.16,OTA (Booking.com),Expedia,Room Charge,STAFF002,0,None
TXN0000131,BK003932,2024-08-03,18:44:00,18,112,Queen Room,1,95,109.17,Credit Card,Front Desk,Room Charge,STAFF005,0,None
TXN0000132,BK006256,2024-12-29,12:24:00,12,146,Standard Single,1,15,15.0,OTA (Booking.com),Booking.com,Pet Fee,STAFF004,0,None
TXN0000133,BK003863,2024-07-31,14:42:00,14,103,Standard Single,3,65,195.0,Credit Card,Front Desk,Room Charge,STAFF003,0,None
TXN0000134,BK001430,2024-03-30,14:23:00,14,135,Queen Room,2,95,211.94,Cash,Front Desk,Room Charge,STAFF002,0,None
TXN0000135,BK003117,2024-06-28,14:15:00,14,120,Queen Room,1,95,102.48,OTA (Booking.com),Direct Website,Room Charge,STAFF001,0,None
TXN0000136,BK006236,2024-12-28,16:32:00,16,110,Standard Single,1,15,15.0,Credit Card,Front Desk,Parking Fee,STAFF005,0,None
TXN0000137,BK003556,2024-07-17,14:53:00,14,140,Queen Room,4,95,380.0,Credit Card,Front Desk,Room Charge,STAFF001,0,None
TXN0000138,BK003851,2024-07-31,13:04:00,13,106,Standard Single,1,65,65.0,Credit Card,Front Desk,Room Charge,STAFF001,0,None
TXN0000139,BK004335,2024-08-21,15:54:00,15,132,Queen Room,1,95,95.0,Credit Card,Front Desk,Room Charge,STAFF005,0,None
TXN0000140,BK001420,2024-03-30,16:47:00,16,114,Standard Single,1,65,73.94,OTA (Booking.com),Direct Website,Room Charge,STAFF001,0,None
TXN0000141,BK000897,2024-03-02,14:36:00,14,143,Standard Single,1,65,73.68,OTA (Booking.com),Hotels.com,Room Charge,STAFF005,0,None
TXN0000142,BK005684,2024-11-14,15:59:00,15,117,Standard Single,2,65,130.0,Cash,Front Desk,Room Charge,STAFF004,0,None
TXN0000143,BK006099,2024-12-17,15:34:00,15,104,Standard Double,3,85,255.0,Credit Card,Front Desk,Room Charge,STAFF002,0,None
TXN0000144,BK001801,2024-04-21,18:52:00,18,150,Standard Single,1,10,10.0,Credit Card,Front Desk,Early Check-in Fee,STAFF001,0,None
TXN0000145,BK005894,2024-11-30,12:38:00,12,111,Standard Single,2,65,137.33,Credit Card,Front Desk,Room Charge,STAFF002,0,None
TXN0000146,BK003987,2024-08-06,16:42:00,16,151,Standard Double,1,85,85.0,Credit Card,Front Desk,Room Charge,STAFF003,0,None
TXN0000147,BK003021,2024-06-24,17:17:00,17,112,Standard Single,7,65,455.0,OTA (Booking.com),Direct Website,Room Charge,STAFF001,0,None
TXN0000148,BK004918,2024-09-25,14:37:00,14,128,Standard Double,2,85,170.0,OTA (Booking.com),Expedia,Room Charge,STAFF002,0,None
TXN0000149,BK004393,2024-08-24,15:08:00,15,134,Standard Single,1,65,71.79,Credit Card,Front Desk,Room Charge,STAFF003,0,None
TXN0000150,BK006124,2024-12-19,15:27:00,15,104,Standard Double,4,85,340.0,Credit Card,Front Desk,Room Charge,STAFF003,0,None
TXN0000151,BK003896,2024-08-01,17:40:00,17,136,Standard Single,2,65,130.0,Credit Card,Front Desk,Room Charge,STAFF005,0,None
TXN0000152,BK000071,2024-01-06,15:53:00,15,127,Standard Double,1,85,96.73,Credit Card,Front Desk,Room Charge,STAFF003,0,None
TXN0000153,BK005307,2024-10-19,14:59:00,14,149,Queen Room,3,95,319.28,Credit Card,Front Desk,Room Charge,STAFF004,0,None
TXN0000154,BK003447,2024-07-12,14:57:00,14,149,Suite,2,140,311.24,Credit Card,Front Desk,Room Charge,STAFF005,0,None
TXN0000155,BK004422,2024-08-26,12:18:00,12,115,Standard Double,1,85,85.0,Credit Card,Front Desk,Room Charge,STAFF001,0,None
TXN0000156,BK000477,2024-02-06,16:52:00,16,146,Standard Single,1,65,65.0,OTA (Booking.com),Expedia,Room Charge,STAFF004,0,None
TXN0000157,BK004537,2024-08-31,15:30:00,15,137,Queen Room,2,95,210.71,Credit Card,Front Desk,Room Charge,STAFF005,0,None
TXN0000158,BK002534,2024-06-02,13:24:00,13,119,Queen Room,2,95,203.36,OTA (Booking.com),Direct Website,Room Charge,STAFF001,0,None
TXN0000159,BK003878,2024-08-01,15:29:00,15,112,Queen Room,1,95,95.0,Credit Card,Front Desk,Room Charge,STAFF004,0,None
TXN0000160,BK002331,2024-05-22,14:25:00,14,129,Standard Single,4,65,260.0,Credit Card,Front Desk,Room Charge,STAFF002,0,None
TXN0000161,BK000243,2024-01-19,16:39:00,16,131,Queen Room,3,95,317.58,Cash,Front Desk,Room Charge,STAFF002,0,None
TXN0000162,BK003159,2024-06-30,17:01:00,17,125,Standard Single,1,65,73.31,Cash,Front Desk,Room Charge,STAFF003,0,None
TXN0000163,BK006159,2024-12-22,15:25:00,15,147,Standard Single,1,25,25.0,Credit Card,Front Desk,Pet Fee,STAFF002,0,None
TXN0000164,BK001704,2024-04-15,17:19:00,17,114,Standard Double,1,25,25.0,OTA (Booking.com),Booking.com,Parking Fee,STAFF004,0,None
TXN0000165,BK001691,2024-04-15,16:11:00,16,141,Standard Single,1,65,65.0,Credit Card,Front Desk,Room Charge,STAFF002,0,None
TXN0000166,BK003172,2024-06-30,16:15:00,16,113,Standard Double,5,85,488.11,Credit Card,Front Desk,Room Charge,STAFF004,0,None
TXN0000167,BK004558,2024-09-02,15:07:00,15,110,Queen Room,1,95,95.0,OTA (Booking.com),Expedia,Room Charge,STAFF004,0,None
TXN0000168,BK000793,2024-02-25,15:22:00,15,119,Standard Double,7,85,670.55,Credit Card,Front Desk,Room Charge,STAFF004,0,None
TXN0000169,BK000758,2024-02-23,15:51:00,15,113,Standard Single,2,65,146.89,Credit Card,Front Desk,Room Charge,STAFF004,0,None
TXN0000170,BK001710,2024-04-16,13:54:00,13,106,Standard Single,1,65,65.0,OTA (Booking.com),Booking.com,Room Charge,STAFF003,0,None
TXN0000171,BK001021,2024-03-09,16:57:00,16,113,Standard Double,3,85,284.32,Credit Card,Front Desk,Room Charge,STAFF004,0,None
TXN0000172,BK004946,2024-09-27,17:36:00,17,135,Queen Room,1,10,10.0,Cash,Front Desk,Pet Fee,STAFF005,0,None
TXN0000173,BK000226,2024-01-17,17:23:00,17,133,Queen Room,1,25,25.0,Credit Card,Front Desk,Pet Fee,STAFF005,0,None
TXN0000174,BK000956,2024-03-05,17:37:00,17,127,Standard Single,2,65,130.0,OTA (Booking.com),Booking.com,Room Charge,STAFF001,0,None
TXN0000175,BK002126,2024-05-09,16:35:00,16,130,Standard Double,1,25,25.0,Credit Card,Front Desk,Pet Fee,STAFF003,0,None
TXN0000176,BK003980,2024-08-06,12:35:00,12,118,Standard Single,4,65,260.0,Cash,Front Desk,Room Charge,STAFF002,0,None
TXN0000177,BK005803,2024-11-24,14:44:00,14,116,Standard Single,1,25,25.0,Credit Card,Front Desk,Pet Fee,STAFF001,0,None
TXN0000178,BK003458,2024-07-13,14:38:00,14,122,Queen Room,1,95,108.82,Credit Card,Front Desk,Room Charge,STAFF001,0,None
TXN0000179,BK002538,2024-06-02,16:02:00,16,126,Standard Single,1,25,25.0,Cash,Front Desk,Late Check-out Fee,STAFF004,0,None
TXN0000180,BK004309,2024-08-20,14:27:00,14,102,Queen Room,2,95,190.0,Credit Card,Front Desk,Room Charge,STAFF004,0,None
TXN0000181,BK005356,2024-10-21,16:36:00,16,110,Standard Double,4,85,340.0,Credit Card,Front Desk,Room Charge,STAFF003,0,None
TXN0000182,BK004589,2024-09-05,14:58:00,14,150,Standard Double,4,85,340.0,Credit Card,Front Desk,Room Charge,STAFF002,0,None
TXN0000183,BK004560,2024-09-02,16:43:00,16,112,Queen Room,1,20,20.0,OTA (Booking.com),Booking.com,Early Check-in Fee,STAFF002,0,None
TXN0000184,BK003147,2024-06-29,13:47:00,13,108,Standard Double,1,85,91.33,Credit Card,Front Desk,Room Charge,STAFF005,0,None
TXN0000185,BK005818,2024-11-25,15:40:00,15,111,Standard Double,2,85,170.0,Credit Card,Front Desk,Room Charge,STAFF005,0,None
TXN0000186,BK005450,2024-10-28,12:10:00,12,147,Queen Room,2,95,190.0,Cash,Front Desk,Room Charge,STAFF005,0,None
TXN0000187,BK005188,2024-10-13,15:45:00,15,132,Suite,1,25,25.0,OTA (Booking.com),Expedia,Late Check-out Fee,STAFF002,0,None
TXN0000188,BK003377,2024-07-08,14:55:00,14,101,Standard Double,4,85,340.0,OTA (Booking.com),Hotels.com,Room Charge,STAFF002,0,None
TXN0000189,BK003606,2024-07-20,13:42:00,13,109,Standard Double,2,85,186.94,OTA (Booking.com),Direct Website,Room Charge,STAFF001,0,None
TXN0000190,BK005918,2024-12-02,12:41:00,12,141,Standard Double,2,85,170.0,Credit Card,Front Desk,Room Charge,STAFF004,0,None
TXN0000191,BK000969,2024-03-06,14:20:00,14,117,Standard Double,1,85,85.0,Credit Card,Front Desk,Room Charge,STAFF004,0,None
